prompt,completion
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 2cm. Heel Type is Block. Comfort and Fit is Underfoot Cushioning. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: textile.","A true chameleon in styling that'll give edge to dresses and denim alike, this pair of ankle boots from Hotter is cut from quality leather.
Resting on a block heel, they have been designed with underfoot cushioning to provide extra support when on your feet and are shaped with an almond toe for a neat finish.
Heel height: 2cm"
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Nubuck. Shoe Or Boot Style is Walking. Exact Heel Height is 3.2cm. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: waxed nubuck textile, Sole: polyurethane, Lining: textile.","A must-have for map reading adventures, this pair of walking boots from Hotter is made softly textured nubuck uppers.
Set on a flat heel, they have a rounded toe for everyday charm.
Heel height: 3.2cm"
"Heel Height is Low. Brand is Hotter. Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 2cm. Heel Type is Block. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: textile.","Sitting at the ankle for a classic style, this pair of boots from Hotter is made with longevity in mind, thanks to its quality leather uppers.
Resting on a block heel, theyare designed with comfort in mind, featuring underfoot cushioning and a wide fit and have an almond-shaped toe that makes for a smooth finish.
Heel height: 2cm"
"Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Heel Type is Block. Heel Height is Mid. Brand is Dune. Toe Detail is Closed Toe. Material is Upper: Leather, Sole: Resin, Lining: Leather.","From Dune comes Patsie, a beautifully made shoe that is set to become a wardrobe staple.
With a block heel, these boots find a feminine take on masculine stylings. A leather lining gives the wearer comfort, whilst a pull tab on the rear offers easy access.
The exterior boasts a traditional design, with rounded toe and lace up fastenings. Stitch detailing completes the upper.
Team with a pair of jeans and a thick jumper for a chic, transitional look.
Heel height: 5.5cm"
"Heel Height is Mid. Brand is Barbour. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Ankle Boots. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Composition is Upper: suede, Sole: rubber, Lining: synthetic.","Sitting at the ankle for a classic style, this pair of boots from Barbour is stitched with suede uppers for a luxe texture.
Elevated on a block heel, they have an almond-shaped toe that makes for a smooth finish.
Heel height: 5cm"
"Brand is Dune. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Heel Type is Block. Composition is Upper; Leather, Sole; Resin.","This knee high boot from Dune features a burnished toe with brogue detailing and an inside zip fastening. Button detailing to the front of the shoe adds a unique finish to a classic shoe shape.
Team with a shirt dress, leggings and a long blazer for an elegant evening ensemble.
Heel height: 5cm"
"Main Shoe Material is Leather. Shoe Or Boot Style is Ankle Boots. Heel Type is Block. Heel Height is Mid. Brand is Dune. Material is Leather, resin.","Channel an edgy, urban vibe with these Patsie lace up boots from Dune, made from pure leather for premium quality and long-lasting comfort. With a comfortable block heel and lace up detail along the front, the leather is slightly textured, adding rugged appeal. With a fleece lining to keep your feet snug and warm, these are ideal for staying smart and polished throughout the colder months.
 "
"Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Heel Type is Flatform. Heel Height is Low. Brand is Whistles. Exact Heel Height is 3cm. Toe Detail is Closed Toe. Material is Upper: Leather, Sole: Rubber, Lining:Leather .","For a sturdy and comfortable style, choose the Amber ankle boots from Whistles.
A chunky sole offers a touch of lift while the ridges provide grip for off-road adventures. A classic, lace-up fastening ensures a secure fit and the sleek leather finish and leather lining ensures quality and comfortable wear. 
Use to create an androgynous look with loose trousers and a polo shirt. 
Heel Height: 3cm"
Main Shoe Material is Patent. Shoe Or Boot Style is Ankle Boots. Heel Type is Block. Heel Height is Mid. Brand is Steve Madden. Composition is Upper: Synthetic. Lining: Synthetic. Sole: Rubber.,"The Patrica boot from Steve Madden is an elevated everyday style. Textured through the upper, it lends a sleek feel to the traditional Chelsea boot with a pointed toe and mid-block heel. This pair is easy to slip on with an elasticated side panel and rear tab to pull on.
Heel heigth: 7.5cm."
"Main Shoe Material is Leather. Shoe Or Boot Style is Knee Boots. Heel Type is Block. Heel Height is High. Brand is L.K.Bennett. Exact Heel Height is 8.5cm. Material is Upper: Leather, Sole: 60% Leather, 40% Other, Lining: Leather .","A sleek design, these leather Kristen boots will help you transition seasons with ease. Effortlessly stylish, they sit just below the knee and feature a slim, block heel for a flattering finish.
Perfect for the cooler months, wear with a shift dress and tights.
Heel height: 8.5cm"
"Main Shoe Material is Suede. Shoe Or Boot Style is Over the Knee Boot. Heel Type is Block. Heel Height is Mid. Brand is Dune. Exact Heel Height is 7cm. Toe Detail is Almond. Material is Upper: mircofibre, Sole: synthetic, Lining: leather.","From Dune, the Siren boot is a comfortable choice. Resting on a high block heel and shaped with a striking pointed toe. It's a versatile investment for everyday wear.
Heel height: 7cm"
Main Shoe Material is Suede. Shoe Or Boot Style is Knee Boots. Heel Type is Block. Heel Height is Low. Brand is Dune. Exact Heel Height is 3cm. Material is Suede/fabric/synthetic.,"A simply designed pair from Dune, the Tropic knee-high boots offer sleek style with a wooden block heel and a stretchy fabric back panel to keep bending and walking comfortable, while the front suede panel comes up high over the knee for a classic look layered over denim or leggings.
 Heel height: 3cm "
"Heel Height is Low. Brand is FitFlop. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Leather. Exact Heel Height is 2cm. Heel Type is Flatform. Toe Detail is Closed Toe. Material is Upper: leather/polyester, Sole: rubber, Lining: lycra.","With practicality that's sure to withstand uneven terrains, this pair of walking boots from FitFlop is crafted from leather for comfort and longevity of wear.
Sitting on a flatform heel, they are sure to be a favourite for off-duty days.
Heel height: 2cm"
"Heel Height is Mid. Brand is Dune. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Exact Heel Height is 7.5cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: synthetic, Lining: fabric.","In a sleek style that elongates your profile, this pair of knee-high boots from Dune is made with leather uppers for long-lasting quality.
Sitting on a block heel, they have an almond-shaped toe that makes for a smooth finish.
Heel height: 7.5cm"
"Heel Height is Low. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots, Walking. Main Shoe Material is Leather. Exact Heel Height is 4.5cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: rubber, Lining: faux fur.","From simple strolls in the countryside to long weekend ramblings, this versatile pair of ankle walking boots from Moda in Pelle is made with leather uppers for long-lasting quality.
Sitting on a block heel, they are shaped with an almond closed toe for a neat finish.
Heel height: 4.5cm"
"Heel Height is Low. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots, Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: rubber, Lining: leather.","A cool-weather option with added edge, this pair of biker boots by Moda in Pelle is fashioned from leather for footwear that will last for years to come.
Sitting on a block heel, they are shaped with an almond closed toe for a neat finish.
Heel height: 3cm"
"Heel Height is High. Brand is KG Kurt Geiger. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Suede. Exact Heel Height is 8.5cm. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: suede, Sole: synthetic, Lining: fabric.","Bringing sophistication to your footwear collection, this pair of knee boots by KG Kurt Geiger is fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 8.5cm"
"Heel Height is Low. Brand is Dune. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Exact Heel Height is 2.5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","A sleek pair for cooler months, this pair of knee boots from Dune is fashioned from leather for footwear that will last for years to come.
Sitting on a block heel, they have a rounded toe for everyday charm.
Heel height: 2.5cm"
"Heel Height is High. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Synthetic. Exact Heel Height is 8.5cm. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: synthetic, Sole: rubber, Lining: faux fur.","Cut to an ankle-high silhouette, this pair of boots from Moda in Pelle comes in a soft, yet durable fabric that's built to last.
Sitting on a block heel, they are finished with a pointed closed toe that elongates the profile.
Heel height: 8.5cm"
"Heel Height is Mid. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: EVA, Lining: faux fur.","Sure to see you through the seasons, this attitude-fuelled pair of biker boots from Moda in Pelle is made with supple leather for a luxurious feel.
Set on a block heel, they have a rounded toe for everyday charm.
Heel height: 5cm"
"Heel Height is Low. Brand is Moda in Pelle. Occasion Type is Casual. Shoe Or Boot Style is Chelsea Boots. Main Shoe Material is Suede. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: suede. Sole: rubber, Lining: textile.","Blending style and function, this pair of Chelsea boots by Moda in Pelle is fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they have a rounded toe for everyday charm.
Heel height: 3cm"
"Heel Height is Mid. Brand is Kin. Occasion Type is Smart. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Exact Heel Height is 5.5cm. Country of Origin is India. Heel Type is Block. Toe Detail is Square. Material is Upper: leather, Sole: synthetic, Lining: leather.","These knee-high Tammie boots from Kin are made in supple leather, with a soft square toe and leather-covered block heel.
Featuring a standard leg fit, they're completed with an outside zip and clean seam detailing that adds a contemporary feel. 
Good to know: Clean regularly with good quality neutral or matching shoe polish. Use a soft cloth to apply and allow the polish to dry so the leather can absorb it properly. Then buff away any excess polish with a cloth or brush.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group."
